,Growth,Color,Time
0,شجرة شجيرة,أبيض,من فبراير إلى ديسمبر
1,شجيرة شجرة,أصفر,من يناير إلى مارس
2,شجرة شجيرة,أصفر,من فبراير إلى أبريل
3,شجرة شجيرة,أبيض,من مارس إلى أبريل
4,شجرة,أصفر خفيف,من مارس إلى مايو
5,شجرة,أبيض أصفر باهت,من فبراير إلى أكتوبر
6,شجيرة,أصفر باهت,من مارس إلى ديسمبر
7,شجرة شجيرة,أصفر المع,من أبريل إلى مايو الرائحة
8,شجيرة شجرة,أصفر غامق,من فبراير إلى أبريل
9,شجرة,أصفر,من يناير إلى مارس
10,شجرة شجيرة,أصفر المع,من مارس إلى أبريل
11,شجرة,أصفر باهت,من فبراير إلى ديسمبر
12,شجرة,أصفر المع,من فبراير إلى أبريل
13,شجرة,أصفر,من مارس إلى مايو
14,شجرة,أبيض,من مارس إلى يوليو
15,شجرة,أبيض,من مارس إلى يوليو
16,شجيرة شجرة,أصفر باهت,من مارس إلى يونيو
17,شجيرة,أحمر المع,من مايو إلى أغسطس
18,شجيرة,وردي باهت,من مايو إلى أغسطس
19,شجيرة,الحجم,من أبريل إلى يوليو
20,الصباريات,أخضر خفيف,من يونيو إلى سبتمبر
21,الصباريات,أصفر,من مارس إلى مايو
22,الصباريات,الحجم,من يناير إلى أبريل نوع الثمرة
23,الصباريات,الحجم,من يونيو إلى سبتمبر
24,شجرة,الحجم,من مايو إلى سبتمبر
25,معمر,الثمرة,من يونيو إلى ديسمبر
26,متسلقات,أصفر المع,من أبريل إلى نوفمبر
27,معمر,أصفر باهت,من يناير إلى مايو نوع الثمرة
28,الصباريات,أحمر برتقالي داكن,من أبريل إلى مايو نوع الثمرة
29,الصباريات,أصفر برتقالي,من مارس إلى مايو
30,معمر,أبيض,من أغسطس إلى أغسطس
31,موسمي ثنائي,أبيض أخضر خفيف,من أبريل إلى مايو نوع الثمرة
32,متسلقات,وردي,من يوليو إلى أغسطس
33,ثنائي الحول,الثمرة,من مارس إلى أكتوبر
34,الصباريات,وردي أحمر,من يوليو إلى سبتمبر
35,شجيرة,ليلكي وردي باهت,من أغسطس إلى أكتوبر
36,متسلقات,الحجم,من يوليو إلى أغسطس
37,معمر,أصفر فاتح,من سبتمبر إلى ديسمبر
38,تحت شجيرة,أبيض,من مايو إلى سبتمبر
39,تحت شجيرة,أبيض ثانوي,من أغسطس إلى أكتوبر
40,ثنائي الحول,أبيض,من فبراير إلى فبراير
41,شجيرة تحت,أصفر باهت,من أغسطس إلى سبتمبر
42,تحت شجيرة,أخضر باهت,من أبريل إلى أبريل نوع الثمرة
43,شجرة,الحجم,من مارس إلى مايو
44,موسمي ثنائي,أبيض,من مارس إلى يونيو
45,موسمي,أخضر,من يوليو إلى سبتمبر
46,شجرة شجيرة,أرجواني,من أكتوبر إلى ديسمبر
47,معمر,أزرق,من يناير إلى أبريل نوع الثمرة
48,شجرة,الحجم,من يناير إلى فبراير
49,متسلقات,الثمرة,من أبريل إلى يونيو
50,متسلقات,الحجم,من أبريل إلى يونيو
51,شجرة,أحمر,من مارس إلى مايو
52,شجرة,الحجم,من أبريل إلى مايو نوع الثمرة
53,شجيرة,أبيض,من يوليو إلى سبتمبر
54,شجيرة,أصفر أرجواني,من يونيو إلى سبتمبر
55,شجيرة,الثمرة,من يونيو إلى سبتمبر
56,موسمي,الحجم,من أبريل إلى نوفمبر
57,شجيرة,أصفر أبيض,من فبراير إلى أبريل
58,شجيرة شجرة,أحمر المع,من مايو إلى سبتمبر
59,شجيرة شجرة,أحمر المع,من أبريل إلى سبتمبر
60,شجيرة,أبيض فاتح ثانوي,من يونيو إلى أكتوبر
61,معمر,الثمرة,من أبريل إلى نوفمبر
62,شجيرة,أبيض أرجواني,من يونيو إلى أغسطس
63,شجرة,أصفر فاتح,من يناير إلى ديسمبر
64,شجيرة,أبيض,من أبريل إلى يوليو
65,تحت شجيرة,الثمرة,من مارس إلى يونيو
66,الصباريات,أصفر وردي أصفر,من مارس إلى يونيو
67,شجرة,أصفر المع,من مارس إلى أبريل
68,تحت شجيرة,أصفر,من يونيو إلى يوليو
69,شجرة شجيرة,الحجم,من مارس إلى أبريل
70,شجرة,أخضر خفيف,من أبريل إلى مايو نوع الثمرة
71,معمر تحت شجيرة,الثمرة,من يناير إلى ديسمبر
72,موسمي,الحجم,من يناير إلى مارس
73,معمر تحت شجيرة,أصفر,من أبريل إلى مايو نوع الثمرة
74,شجرة شجيرة,الحجم,من أغسطس إلى أكتوبر
75,شجرة شجيرة,أصفر المع,من مارس إلى أبريل
76,شجيرة,أحمر المع,من مايو إلى سبتمبر
77,شجيرة,الحجم,من يونيو إلى أكتوبر
78,شجيرة,أخضر باهت,من يونيو إلى أكتوبر
79,شجيرة,أصفر,من يونيو إلى يوليو
80,شجرة شجيرة,الحجم,من مارس إلى يوليو
81,شجرة,الثمرة,من أكتوبر إلى ديسمبر
82,شجرة,أبيض,من أبريل إلى سبتمبر
83,معمر,أصفر,من مارس إلى يوليو
84,شجرة شجيرة,أبيض,من مارس إلى مايو
85,شجرة شجيرة,أبيض,من مارس إلى مايو
86,شجرة شجيرة,أبيض أرجواني,من سبتمبر إلى أكتوبر
87,شجرة شجيرة,أبيض,من سبتمبر إلى أكتوبر
88,شجرة شجيرة,أبيض,من مارس إلى مايو
89,شجيرة,أبيض,من يونيو إلى سبتمبر
90,متسلقات,الحجم,من مايو إلى ديسمبر
91,متسلقات,أزرق داكن,من يونيو إلى سبتمبر
92,متسلقات,الثمرة,من أبريل إلى يوليو
93,شجيرة,أبيض,من يوليو إلى أغسطس
94,شجرة شجيرة,أخضر,من مارس إلى مايو
95,شجرة شجيرة,أصفر باهت,من أبريل إلى مايو نوع الثمرة
96,تحت شجيرة,الثمرة,من مارس إلى أكتوبر
97,معمر,الحجم,من يناير إلى أبريل نوع الثمرة
98,شجرة شجيرة,أبيض,من مارس إلى أبريل
99,أعشاب نجيلية,الحجم,من أغسطس إلى أكتوبر
100,معمر,أبيض ليلكي,من مارس إلى أكتوبر
101,الزهرة,أصفر باهت,من مارس إلى مايو
102,شجرة,أصفر باهت,من مارس إلى مايو
103,شجيرة شجرة,أصفر غامق,من يونيو إلى أغسطس
104,أعشاب نجيلية,بني خفيف,من يوليو إلى أغسطس
105,أعشاب نجيلية,أخضر بني خفيف,من مارس إلى ديسمبر
106,معمر,بني خفيف,من يونيو إلى أغسطس
107,شجرة,أصفر باهت,من مارس إلى أبريل
108,شجرة,أحمر برتقالي,من يونيو إلى سبتمبر
109,شجيرة,أخضر خفيف,من مايو إلى يونيو نوع الثمرة
110,تحت شجيرة,وردي,من أبريل إلى يونيو
111,شجيرة شجرة,الثمرة,من مايو إلى سبتمبر
112,شجيرة,أبيض وردي,من فبراير إلى أغسطس
113,معمر,أزرق,من مايو إلى يونيو نوع الثمرة
114,معمر,أبيض أزرق فاتح,من سبتمبر إلى نوفمبر
115,معمر تحت شجيرة,أصفر,من أبريل إلى مايو نوع الثمرة
116,شجرة شجيرة,أبيض,من سبتمبر إلى ديسمبر
117,شجرة,أبيض أصفر باهت,من يونيو إلى أغسطس
118,شجرة,أبيض,من يناير إلى مارس
119,شجرة,أبيض,من يوليو إلى سبتمبر
120,الصباريات,أحمر المع,من فبراير إلى أبريل
121,الصباريات,أخضر باهت,من يوليو إلى سبتمبر
122,شجرة,أصفر,من مايو إلى يونيو الرائحة
123,شجرة,أخضر,من مارس إلى أبريل
124,شجرة,أخضر باهت,من مارس إلى أبريل
125,شجرة شجيرة,أصفر باهت,من أبريل إلى مايو نوع الثمرة
126,شجرة شجيرة,أخضر,من مايو إلى يونيو نوع الثمرة
127,شجرة,أصفر باهت,من أبريل إلى مايو نوع الثمرة
128,شجيرة,أصفر باهت,من أبريل إلى مايو نوع الثمرة
129,شجرة شجيرة,أخضر,من مايو إلى يونيو نوع الثمرة
130,متسلقات,أحمر باهت,من مارس إلى مايو
131,شجرة,أخضر باهت,من مارس إلى مايو
132,شجرة,أصفر باهت,من مارس إلى أبريل
133,شجرة,أخضر باهت,من مارس إلى أبريل
134,شجيرة,أبيض,من مايو إلى أغسطس
135,معمر,أصفر,من مارس إلى يونيو
136,معمر ثنائي,أصفر برتقالي,من مارس إلى أغسطس
137,معمر,أصفر المع,من مارس إلى يونيو
138,شجرة,الثمرة,من مارس إلى مايو
139,شجيرة,أصفر,من أغسطس إلى سبتمبر
140,معمر تحت شجيرة,أبيض,من مارس إلى أبريل
141,شجيرة,أحمر,نوع الثمرة ثمرة متشققة
142,شجرة,الحجم,من مارس إلى نوفمبر
143,معمر,الثمرة,من أبريل إلى سبتمبر
144,متسلقات,الثمرة,من يونيو إلى سبتمبر
145,معمر,الثمرة,من يونيو إلى سبتمبر
146,معمر,أبيض,من مايو إلى يونيو نوع الثمرة
147,شجيرة,برتقالي المع,من يوليو إلى أغسطس
148,شجيرة,أحمر المع,من أبريل إلى أغسطس
149,شجرة,الثمرة,من مارس إلى مايو
150,متسلقات,أزرق,من يناير إلى ديسمبر
151,متسلقات,أبيض,من يونيو إلى سبتمبر
152,متسلقات,أبيض وردي,من فبراير إلى أغسطس
153,شجيرة,أبيض,من مارس إلى أكتوبر
154,شجيرة,الحجم,من يوليو إلى سبتمبر
155,معمر,بني خفيف,من يناير إلى ديسمبر
156,الصباريات,أحمر وردي أبيض,من مارس إلى ديسمبر
157,الصباريات,الحجم,من مايو إلى يونيو نوع الثمرة
158,شجرة شجيرة,وردي,من يوليو إلى سبتمبر
159,شجرة,وردي أحمر أبيض,من مايو إلى يوليو نوع الثمرة
160,الصباريات,برتقالي المع,من مايو إلى أغسطس
161,الصباريات,أصفر,من أبريل إلى مايو نوع الثمرة
162,شجيرة,الحجم,من مايو إلى أكتوبر الرائحة
163,تحت شجيرة,الثمرة,من يونيو إلى سبتمبر
164,معمر,أبيض,من مارس إلى يونيو
165,النخيل,أصفر باهت,من يوليو إلى أغسطس
166,معمر,أصفر,من مارس إلى أبريل
167,تحت شجيرة,أزرق بنفسجي,من يونيو إلى أغسطس
168,تحت شجيرة,أزرق بنفسجي,من مارس إلى يونيو
169,شجيرة,وردي باهت,من يوليو إلى سبتمبر
170,شجرة,أصفر خفيف,من أبريل إلى ديسمبر
171,شجيرة,أرجواني,من مارس إلى يونيو
172,موسمي,بنفسجي أزرق,من أبريل إلى نوفمبر
173,معمر,أبيض ليلكي,من يناير إلى مايو الرائحة
174,متسلقات,الحجم,من مايو إلى يوليو الرائحة
175,شجيرة شجرة,أبيض ليلكي,من مارس إلى مايو
176,متسلقات,أصفر المع,من مايو إلى سبتمبر
177,شجيرة شجرة,أصفر خفيف,من مارس إلى أبريل
178,شجيرة,أحمر,من أبريل إلى أكتوبر
179,شجرة,الحجم,من فبراير إلى أبريل
180,شجرة,الحجم,من مايو إلى يونيو الرائحة
181,معمر,وردي,من أغسطس إلى سبتمبر
182,شجرة شجيرة,وردي باهت,من مايو إلى أغسطس
183,معمر,الحجم,من مارس إلى مايو
184,شجرة,أبيض,من أبريل إلى سبتمبر
185,شجرة,أخضر,من مايو إلى مايو نوع الثمرة
186,شجيرة,أبيض,من مايو إلى سبتمبر
187,معمر,أصفر,من يناير إلى ديسمبر
188,معمر,أصفر,من يناير إلى ديسمبر
189,شجيرة,أبيض,من مايو إلى أغسطس
190,مائية,أبيض وردي أصفر,من أبريل إلى أغسطس
191,شجيرة,وردي خفيف,من مايو إلى سبتمبر
192,مائية,أزرق فاتح,من يونيو إلى سبتمبر
193,مائية,الحجم,من يناير إلى ديسمبر
194,شجيرة,أصفر,من مارس إلى مايو
195,موسمي ثنائي,أبيض أصفر فاتح,من يونيو إلى أغسطس
196,شجرة,أبيض أصفر,من مايو إلى يونيو الرائحة
197,الصباريات,أصفر,من أبريل إلى أبريل نوع الثمرة
198,معمر,الثمرة,من يناير إلى ديسمبر
199,شجيرة,أبيض,من فبراير إلى أبريل
200,شجرة شجيرة,الحجم,من أبريل إلى مايو الرائحة
201,أعشاب نجيلية,بني خفيف,من أبريل إلى مايو نوع الثمرة
202,معمر تحت شجيرة,وردي,من مارس إلى يونيو
203,تحت شجيرة,ليلكي خافت,من مارس إلى يونيو
204,موسمي ثنائي,الحجم,من يناير إلى مايو الرائحة
205,شجرة,الثمرة,من يونيو إلى أغسطس
206,أعشاب نجيلية,أبيض فاتح,من يونيو إلى سبتمبر
207,تحت شجيرة,الثمرة,من أبريل إلى أكتوبر
208,موسمي,الثمرة,من أبريل إلى نوفمبر
209,النخيل,أصفر المع,من فبراير إلى يونيو
210,النخيل,أصفر أخضر,من فبراير إلى مايو نوع الثمرة
211,النخيل,أصفر باهت,من مارس إلى مارس
212,أعشاب نجيلية,الحجم,من سبتمبر إلى أكتوبر
213,شجرة,أصفر فاتح,من مارس إلى أبريل
214,شجرة,أخضر أبيض,من أبريل إلى مايو نوع الثمرة
215,شجيرة,أبيض أصفر باهت,من مارس إلى مايو
216,موسمي ثنائي,أزرق باهت,من يوليو إلى أغسطس
217,متسلقات,أزرق خفيف,من يونيو إلى سبتمبر
218,شجيرة شجرة,أبيض أصفر,من يونيو إلى نوفمبر
219,شجيرة شجرة,الحجم,من يونيو إلى أكتوبر
220,معمر,الحجم,من مايو إلى أكتوبر نوع الثمرة
221,موسمي ثنائي,الحجم,من يونيو إلى أكتوبر
222,موسمي,أحمر مركز أصفر,من أبريل إلى أغسطس
223,الصباريات,وردي خفيف,من مارس إلى مايو
224,شجرة,أبيض فاتح,من أبريل إلى يونيو
225,شجرة,أصفر خفيف,من أبريل إلى يونيو
226,شجيرة,أخضر أصفر,من أبريل إلى أغسطس
227,شجرة,أصفر باهت,من مارس إلى يونيو
228,شجيرة,الحجم,من مارس إلى نوفمبر
229,شجيرة شجرة,أبيض,من أبريل إلى مايو الرائحة
230,تحت شجيرة,أصفر,من فبراير إلى أبريل
231,شجيرة شجرة,الثمرة,من مارس إلى سبتمبر
232,متسلقات,برتقالي المع,من مايو إلى يوليو نوع الثمرة
233,متسلقات,أبيض وردي أحمر,من يونيو إلى سبتمبر
234,موسمي ثنائي,أخضر أصفر,من يونيو إلى أغسطس
235,شجيرة,أصفر,من مارس إلى يونيو
236,شجيرة,أبيض,من يونيو إلى أغسطس
237,معمر,أحمر بني وردي,من يونيو إلى أغسطس
238,شجيرة,وردي,من يونيو إلى سبتمبر
239,شجيرة,أبيض,من يونيو إلى أغسطس
240,شجيرة تحت,الحجم,من مارس إلى مايو
241,النخيل,الحجم,من يونيو إلى أغسطس
242,معمر,الحجم,من مايو إلى أكتوبر نوع الثمرة
243,موسمي,أحمر,من فبراير إلى مايو نوع الثمرة
244,شجيرة,أخضر باهت,من أبريل إلى مايو نوع الثمرة
245,شجيرة,أحمر المع,من مايو إلى أكتوبر نوع الثمرة
246,النخيل,أبيض أصفر باهت,من مايو إلى أغسطس
247,شجيرة شجرة,أخضر فاتح,من فبراير إلى ديسمبر
248,سراسخ مائية,أبيض ثانوي,من يونيو إلى يوليو
249,الصباريات,أخضر باهت,من يونيو إلى يونيو
250,الصباريات,أصفر,من يوليو إلى أغسطس
251,معمر تحت شجيرة,أصفر باهت,من يونيو إلى أغسطس
252,تحت شجيرة,الحجم,من أبريل إلى أكتوبر
253,متسلقات,أصفر,من أبريل إلى مايو الرائحة
254,شجرة,أبيض,من مارس إلى مايو
255,شجرة,أخضر باهت,من مايو إلى يونيو نوع الثمرة
256,شجرة شجيرة,أصفر,من أبريل إلى يونيو
257,معمر ثنائي الحول,أصفر غامق,من يوليو إلى أكتوبر
258,شجيرة شجرة,أصفر فاتح,من يناير إلى أبريل الرائحة
259,شجيرة,أصفر,من فبراير إلى ديسمبر
260,شجيرة,أصفر,من مارس إلى أكتوبر
261,شجيرة شجيرة,أصفر المع,من أبريل إلى يونيو
262,شجرة شجيرة,وردي,من مارس إلى أغسطس
263,الصباريات,بني خفيف,من يونيو إلى يوليو
264,أعشاب نجيلية,فضي,من مارس إلى مايو
265,أعشاب نجيلية,أبيض أزرق,من أبريل إلى يونيو
266,شجرة شجيرة,برتقالي أزرق,من أبريل إلى نوفمبر
267,معمر شجيرة,أخضر خفيف,من مايو إلى سبتمبر
268,متسلقات,وردي ثانوي,من فبراير إلى أبريل
269,شجرة,أصفر باهت حافة,من مارس إلى مايو
270,شجرة,أصفر باهت,من أبريل إلى يونيو
271,شجرة شجيرة,الثمرة,من يونيو إلى أغسطس
272,شجيرة شجرة,أرجواني,من مارس إلى مايو
273,شجرة شجيرة,أصفر غامق,من يونيو إلى أكتوبر
274,شجيرة,برتقالي غامق,من يونيو إلى نوفمبر
275,متسلقات,أبيض أخضر خفيف,من مايو إلى مايو الرائحة
276,شجرة,الحجم,من أبريل إلى مايو الرائحة
277,شجرة,بنفسجي أزرق,من مارس إلى مارس
278,تحت شجيرة,الحجم,من يونيو إلى سبتمبر
279,معمر,الحجم,من مايو إلى يونيو نوع الثمرة
280,شجرة,الحجم,من يونيو إلى نوفمبر
281,شجيرة شجرة,أصفر المع,من أبريل إلى سبتمبر
282,شجرة,وردي,من مايو إلى أغسطس
283,معمر,أبيض,من يناير إلى مارس
284,معمر تحت شجيرة,برتقالي,من يونيو إلى سبتمبر
285,موسمي ثنائي,أرجواني,من أبريل إلى سبتمبر
286,معمر,ليلكي أزرق خفيف,من يونيو إلى نوفمبر
287,شجيرة,بنفسجي,من مايو إلى سبتمبر
288,شجيرة شجرة,أخضر خفيف,من مايو إلى يونيو نوع الثمرة
289,متسلقات,أبيض فاتح,من مارس إلى يونيو
290,النخيل,برتقالي باهت,من مايو إلى يونيو نوع الثمرة
291,النخيل,أصفر المع,من مايو إلى سبتمبر
292,معمر,أخضر باهت,من يونيو إلى أغسطس
293,معمر شجيرة,الحجم,من يوليو إلى سبتمبر
294,الصباريات,الحجم,من أبريل إلى يونيو
295,الصباريات,بنفسجي,من مارس إلى أبريل
296,معمر,الحجم,من فبراير إلى نوفمبر
297,شجيرة,الحجم,من أبريل إلى نوفمبر
298,موسمي,أخضر أصفر خفيف,من مايو إلى يونيو نوع الثمرة
299,شجرة شجيرة,أصفر,من فبراير إلى أغسطس نوفمبر
300,شجيرة,أخضر باهت أصفر,من مايو إلى يوليو نوع الثمرة
301,شجرة شجيرة,بني,من يونيو إلى يوليو
302,أعشاب نجيلية,أصفر,من أبريل إلى سبتمبر نوفمبر
303,شجيرة,none,none
